timestamp,kwh,building
2024-01-03 10:00:00,70.38,Engg Block
2024-01-03 11:00:00,80.85,Engg Block
2024-01-03 11:00:00,27.23,Library
2024-01-03 11:00:00,26.51,Admin Block
2024-01-03 11:00:00,27.17,Hostel
2024-01-03 12:00:00,27.39,Library
2024-01-03 12:00:00,28.83,Admin Block
2024-01-03 12:00:00,57.21,Engg Block
2024-01-03 12:00:00,21.54,Hostel
2024-01-03 13:00:00,15.91,Hostel
2024-01-03 13:00:00,28.14,Library
2024-01-03 13:00:00,31.13,Admin Block
2024-01-03 13:00:00,61.98,Engg Block
2024-01-03 14:00:00,15.77,Hostel
2024-01-03 14:00:00,31.33,Library
2024-01-03 14:00:00,47.02,Engg Block
2024-01-03 14:00:00,24.5,Admin Block
2024-01-03 15:00:00,45.56,Engg Block
2024-01-03 15:00:00,27.13,Library
2024-01-03 15:00:00,23.98,Admin Block
2024-01-03 15:00:00,24.29,Hostel
2024-01-03 16:00:00,78.2,Engg Block
2024-01-03 16:00:00,37.53,Library
2024-01-03 16:00:00,20.61,Admin Block
2024-01-03 16:00:00,23.64,Hostel
2024-01-03 17:00:00,24.63,Library
2024-01-03 17:00:00,20.87,Admin Block
2024-01-03 17:00:00,29.83,Hostel
2024-01-03 17:00:00,87.04,Engg Block
2024-01-03 18:00:00,28.88,Library
2024-01-03 18:00:00,58.56,Hostel
2024-01-03 18:00:00,7.64,Admin Block
2024-01-03 18:00:00,63.83,Engg Block
2024-01-03 19:00:00,27.36,Library
2024-01-03 19:00:00,43.78,Engg Block
2024-01-03 19:00:00,26.9,Hostel
2024-01-03 19:00:00,8.59,Admin Block
2024-01-03 20:00:00,64.46,Hostel
2024-01-03 20:00:00,9.46,Admin Block
2024-01-03 20:00:00,38.68,Library
2024-01-03 20:00:00,38.16,Engg Block
2024-01-03 21:00:00,6.71,Admin Block
2024-01-03 21:00:00,31.18,Library
2024-01-03 21:00:00,34.33,Hostel
2024-01-03 21:00:00,29.36,Engg Block
2024-01-03 22:00:00,38.16,Engg Block
2024-01-03 22:00:00,10.39,Admin Block
2024-01-03 22:00:00,15.08,Library
2024-01-03 22:00:00,43.36,Hostel
2024-01-03 23:00:00,8.79,Library
2024-01-03 23:00:00,48.46,Engg Block
2024-01-03 23:00:00,52.68,Hostel
2024-01-03 23:00:00,7.57,Admin Block
2024-01-04 00:00:00,7.97,Admin Block
2024-01-04 00:00:00,78.34,Hostel
2024-01-04 00:00:00,13.17,Library
2024-01-04 00:00:00,34.69,Engg Block
2024-01-04 01:00:00,6.8,Admin Block
2024-01-04 01:00:00,48.69,Engg Block
2024-01-04 01:00:00,94.72,Hostel
2024-01-04 01:00:00,14.72,Library
2024-01-04 02:00:00,12.71,Library
2024-01-04 02:00:00,12.08,Engg Block
2024-01-04 02:00:00,57.92,Hostel
2024-01-04 02:00:00,4.12,Admin Block
2024-01-04 03:00:00,46.31,Hostel
2024-01-04 03:00:00,42.19,Engg Block
2024-01-04 03:00:00,15.16,Library
2024-01-04 03:00:00,9.41,Admin Block
2024-01-04 04:00:00,11.21,Library
2024-01-04 04:00:00,35.76,Engg Block
2024-01-04 04:00:00,9.18,Admin Block
2024-01-04 04:00:00,56.86,Hostel
2024-01-04 05:00:00,62.05,Hostel
2024-01-04 05:00:00,16.02,Library
2024-01-04 05:00:00,32.38,Engg Block
2024-01-04 05:00:00,7.55,Admin Block
2024-01-04 06:00:00,44.29,Hostel
2024-01-04 06:00:00,18.25,Library
2024-01-04 06:00:00,8.11,Admin Block
2024-01-04 06:00:00,35.8,Engg Block
2024-01-04 07:00:00,11.59,Library
2024-01-04 07:00:00,75.39,Hostel
2024-01-04 07:00:00,8.83,Admin Block
2024-01-04 07:00:00,17.61,Engg Block
2024-01-04 08:00:00,22.45,Hostel
2024-01-04 08:00:00,5.5,Admin Block
2024-01-04 08:00:00,11.39,Library
2024-01-04 08:00:00,61.43,Engg Block
2024-01-04 09:00:00,38.72,Library
2024-01-04 09:00:00,24.14,Hostel
2024-01-04 09:00:00,22.35,Admin Block
2024-01-04 09:00:00,70.8,Engg Block
2024-01-04 10:00:00,39.48,Library
2024-01-04 10:00:00,89.02,Engg Block
2024-01-04 10:00:00,28.97,Admin Block
2024-01-04 10:00:00,25.2,Hostel
2024-01-04 11:00:00,23.66,Hostel
2024-01-04 11:00:00,26.86,Library
2024-01-04 11:00:00,18.73,Admin Block
2024-01-04 11:00:00,56.58,Engg Block
2024-01-04 12:00:00,27.48,Library
2024-01-04 12:00:00,51.86,Engg Block
2024-01-04 12:00:00,26.29,Hostel
2024-01-04 12:00:00,26.47,Admin Block
2024-01-04 13:00:00,17.11,Hostel
2024-01-04 13:00:00,56.85,Engg Block
2024-01-04 13:00:00,18.22,Admin Block
2024-01-04 13:00:00,28.31,Library
2024-01-04 14:00:00,79.88,Engg Block
2024-01-04 14:00:00,17.48,Hostel
2024-01-04 14:00:00,27.33,Admin Block
2024-01-04 14:00:00,21.93,Library
2024-01-04 15:00:00,24.49,Library
2024-01-04 15:00:00,24.82,Admin Block
2024-01-04 15:00:00,70.34,Engg Block
2024-01-04 15:00:00,14.07,Hostel
2024-01-04 16:00:00,23.98,Library
2024-01-04 16:00:00,23.77,Hostel
2024-01-04 16:00:00,56.39,Engg Block
2024-01-04 16:00:00,16.92,Admin Block
2024-01-04 17:00:00,73.34,Engg Block
2024-01-04 17:00:00,25.39,Library
2024-01-04 17:00:00,25.91,Hostel
2024-01-04 17:00:00,30.82,Admin Block
2024-01-04 18:00:00,66.58,Engg Block
2024-01-04 18:00:00,29.79,Library
2024-01-04 18:00:00,55.73,Hostel
2024-01-04 18:00:00,6.82,Admin Block
2024-01-04 19:00:00,6.7,Admin Block
2024-01-04 19:00:00,31.41,Library
2024-01-04 19:00:00,73.62,Hostel
2024-01-04 19:00:00,43.48,Engg Block
2024-01-04 20:00:00,28.86,Engg Block
2024-01-04 20:00:00,8.32,Admin Block
2024-01-04 20:00:00,39.3,Library
2024-01-04 20:00:00,48.92,Hostel
2024-01-04 21:00:00,32.13,Engg Block
2024-01-04 21:00:00,58.83,Hostel
2024-01-04 21:00:00,9.84,Admin Block
2024-01-04 21:00:00,24.01,Library
2024-01-04 22:00:00,14.96,Library
2024-01-04 22:00:00,31.57,Engg Block
2024-01-04 22:00:00,32.95,Hostel
2024-01-04 22:00:00,6.37,Admin Block
2024-01-04 23:00:00,8.1,Admin Block
2024-01-04 23:00:00,11.97,Library
2024-01-04 23:00:00,22.19,Engg Block
2024-01-04 23:00:00,43.31,Hostel
2024-01-05 00:00:00,37.59,Engg Block
2024-01-05 00:00:00,8.69,Admin Block
2024-01-05 00:00:00,12.38,Library
2024-01-05 00:00:00,59.22,Hostel
2024-01-05 01:00:00,14.19,Library
2024-01-05 01:00:00,37.28,Engg Block
2024-01-05 01:00:00,9.11,Admin Block
2024-01-05 01:00:00,61.48,Hostel
2024-01-05 02:00:00,9.69,Library
2024-01-05 02:00:00,35.04,Engg Block
2024-01-05 02:00:00,8.28,Admin Block
2024-01-05 02:00:00,44.68,Hostel
2024-01-05 03:00:00,13.46,Library
2024-01-05 03:00:00,32.95,Engg Block
2024-01-05 03:00:00,7.41,Admin Block
2024-01-05 03:00:00,47.95,Hostel
2024-01-05 04:00:00,12.92,Library
2024-01-05 04:00:00,22.62,Engg Block
2024-01-05 04:00:00,6.68,Admin Block
2024-01-05 04:00:00,26.69,Hostel
2024-01-05 05:00:00,13.73,Library
2024-01-05 05:00:00,31.32,Engg Block
2024-01-05 05:00:00,43.75,Hostel
2024-01-05 05:00:00,8.14,Admin Block
2024-01-05 06:00:00,13.22,Library
2024-01-05 06:00:00,6.28,Admin Block
2024-01-05 06:00:00,62.09,Hostel
2024-01-05 06:00:00,32.0,Engg Block
2024-01-05 07:00:00,18.64,Library
2024-01-05 07:00:00,27.98,Engg Block
2024-01-05 07:00:00,57.46,Hostel
2024-01-05 07:00:00,4.0,Admin Block
2024-01-05 08:00:00,24.15,Hostel
2024-01-05 08:00:00,10.91,Library
2024-01-05 08:00:00,62.38,Engg Block
2024-01-05 08:00:00,8.7,Admin Block
2024-01-05 09:00:00,21.31,Hostel
2024-01-05 09:00:00,26.81,Library
2024-01-05 09:00:00,29.52,Admin Block
2024-01-05 09:00:00,71.57,Engg Block
2024-01-05 10:00:00,26.26,Library
2024-01-05 10:00:00,13.19,Admin Block
2024-01-05 10:00:00,95.65,Engg Block
2024-01-05 10:00:00,21.04,Hostel
2024-01-05 11:00:00,67.84,Engg Block
2024-01-05 11:00:00,26.67,Library
2024-01-05 11:00:00,19.95,Admin Block
2024-01-05 11:00:00,16.84,Hostel
2024-01-05 12:00:00,25.4,Hostel
2024-01-05 12:00:00,26.18,Library
2024-01-05 12:00:00,69.19,Engg Block
2024-01-05 12:00:00,28.1,Admin Block
2024-01-05 13:00:00,63.79,Engg Block
2024-01-05 13:00:00,23.65,Hostel
2024-01-05 13:00:00,37.13,Library
2024-01-05 13:00:00,35.29,Admin Block
2024-01-05 14:00:00,33.82,Engg Block
2024-01-05 14:00:00,24.1,Hostel
2024-01-05 14:00:00,25.1,Admin Block
2024-01-05 14:00:00,38.52,Library
2024-01-05 15:00:00,21.36,Admin Block
2024-01-05 15:00:00,64.57,Engg Block
2024-01-05 15:00:00,17.69,Hostel
2024-01-05 15:00:00,26.58,Library
2024-01-05 16:00:00,65.98,Engg Block
2024-01-05 16:00:00,24.09,Admin Block
2024-01-05 16:00:00,7.43,Hostel
2024-01-05 16:00:00,25.01,Library
2024-01-05 17:00:00,32.83,Library
2024-01-05 17:00:00,105.03,Engg Block
2024-01-05 17:00:00,31.87,Admin Block
2024-01-05 17:00:00,27.91,Hostel
2024-01-05 18:00:00,26.69,Library
2024-01-05 18:00:00,61.87,Engg Block
2024-01-05 18:00:00,6.97,Admin Block
2024-01-05 18:00:00,41.96,Hostel
2024-01-05 19:00:00,6.72,Admin Block
2024-01-05 19:00:00,37.64,Engg Block
2024-01-05 19:00:00,36.32,Hostel
2024-01-05 19:00:00,33.8,Library
2024-01-05 20:00:00,31.22,Library
2024-01-05 20:00:00,59.19,Hostel
2024-01-05 20:00:00,7.23,Admin Block
2024-01-05 20:00:00,34.7,Engg Block
2024-01-05 21:00:00,20.91,Library
2024-01-05 21:00:00,43.24,Hostel
2024-01-05 21:00:00,24.77,Engg Block
2024-01-05 21:00:00,6.47,Admin Block
2024-01-05 22:00:00,16.37,Library
2024-01-05 22:00:00,8.2,Admin Block
2024-01-05 22:00:00,45.0,Engg Block
2024-01-05 22:00:00,64.58,Hostel
2024-01-05 23:00:00,16.99,Library
2024-01-05 23:00:00,41.58,Engg Block
2024-01-05 23:00:00,58.07,Hostel
2024-01-05 23:00:00,10.6,Admin Block
2024-01-06 00:00:00,8.52,Admin Block
2024-01-06 00:00:00,41.92,Engg Block
2024-01-06 00:00:00,59.05,Hostel
2024-01-06 00:00:00,10.97,Library
2024-01-06 01:00:00,27.04,Engg Block
2024-01-06 01:00:00,28.92,Hostel
2024-01-06 01:00:00,11.53,Library
2024-01-06 01:00:00,7.6,Admin Block
2024-01-06 02:00:00,66.82,Hostel
2024-01-06 02:00:00,13.21,Library
2024-01-06 02:00:00,47.27,Engg Block
2024-01-06 02:00:00,7.53,Admin Block
2024-01-06 03:00:00,5.5,Admin Block
2024-01-06 03:00:00,13.34,Library
2024-01-06 03:00:00,22.73,Engg Block
2024-01-06 03:00:00,52.84,Hostel
2024-01-06 04:00:00,40.13,Engg Block
2024-01-06 04:00:00,14.15,Library
2024-01-06 04:00:00,43.57,Hostel
2024-01-06 04:00:00,9.41,Admin Block
2024-01-06 05:00:00,17.53,Library
2024-01-06 05:00:00,51.11,Hostel
2024-01-06 05:00:00,54.17,Engg Block
2024-01-06 05:00:00,7.88,Admin Block
2024-01-06 06:00:00,22.89,Hostel
2024-01-06 06:00:00,12.06,Library
2024-01-06 06:00:00,26.33,Engg Block
2024-01-06 06:00:00,7.71,Admin Block
2024-01-06 07:00:00,10.5,Library
2024-01-06 07:00:00,30.04,Engg Block
2024-01-06 07:00:00,13.11,Admin Block
2024-01-06 07:00:00,55.01,Hostel
2024-01-06 08:00:00,8.48,Admin Block
2024-01-06 08:00:00,66.62,Engg Block
2024-01-06 08:00:00,14.51,Hostel
2024-01-06 08:00:00,9.05,Library
2024-01-06 09:00:00,12.48,Hostel
2024-01-06 09:00:00,56.82,Engg Block
2024-01-06 09:00:00,21.24,Admin Block
2024-01-06 09:00:00,25.61,Library
2024-01-06 10:00:00,39.8,Engg Block
2024-01-06 10:00:00,22.87,Admin Block
2024-01-06 10:00:00,11.41,Hostel
2024-01-06 10:00:00,29.8,Library
2024-01-06 11:00:00,66.11,Engg Block
2024-01-06 11:00:00,28.01,Hostel
2024-01-06 11:00:00,30.74,Admin Block
2024-01-06 11:00:00,40.77,Library
2024-01-06 12:00:00,25.57,Admin Block
2024-01-06 12:00:00,26.89,Library
2024-01-06 12:00:00,17.04,Hostel
2024-01-06 12:00:00,47.74,Engg Block
2024-01-06 13:00:00,31.34,Library
2024-01-06 13:00:00,17.81,Admin Block
2024-01-06 13:00:00,72.7,Engg Block
2024-01-06 13:00:00,30.66,Hostel
2024-01-06 14:00:00,17.62,Hostel
2024-01-06 14:00:00,50.06,Engg Block
2024-01-06 14:00:00,29.6,Admin Block
2024-01-06 14:00:00,29.9,Library
2024-01-06 15:00:00,21.66,Admin Block
2024-01-06 15:00:00,10.24,Hostel
2024-01-06 15:00:00,90.19,Engg Block
2024-01-06 15:00:00,37.13,Library
2024-01-06 16:00:00,45.16,Library
2024-01-06 16:00:00,34.37,Admin Block
2024-01-06 16:00:00,13.97,Hostel
2024-01-06 16:00:00,52.27,Engg Block
2024-01-06 17:00:00,30.4,Admin Block
2024-01-06 17:00:00,59.77,Engg Block
2024-01-06 17:00:00,26.81,Library
2024-01-06 17:00:00,28.79,Hostel
2024-01-06 18:00:00,27.06,Library
2024-01-06 18:00:00,7.28,Admin Block
2024-01-06 18:00:00,46.71,Hostel
2024-01-06 18:00:00,78.22,Engg Block
2024-01-06 19:00:00,10.05,Admin Block
2024-01-06 19:00:00,24.23,Engg Block
2024-01-06 19:00:00,36.26,Library
2024-01-06 19:00:00,40.94,Hostel
2024-01-06 20:00:00,34.09,Library
2024-01-06 20:00:00,8.11,Admin Block
2024-01-06 20:00:00,36.99,Engg Block
2024-01-06 20:00:00,51.35,Hostel
2024-01-06 21:00:00,56.38,Hostel
2024-01-06 21:00:00,9.36,Admin Block
2024-01-06 21:00:00,41.08,Library
2024-01-06 21:00:00,46.44,Engg Block
2024-01-06 22:00:00,65.43,Hostel
2024-01-06 22:00:00,13.96,Library
2024-01-06 22:00:00,8.78,Admin Block
2024-01-06 22:00:00,20.93,Engg Block
2024-01-06 23:00:00,70.29,Hostel
2024-01-06 23:00:00,36.62,Engg Block
2024-01-06 23:00:00,6.65,Admin Block
2024-01-06 23:00:00,11.6,Library
2024-01-07 00:00:00,13.98,Library
2024-01-07 00:00:00,37.27,Engg Block
2024-01-07 00:00:00,43.71,Hostel
2024-01-07 00:00:00,6.97,Admin Block
2024-01-07 01:00:00,9.65,Admin Block
2024-01-07 01:00:00,15.27,Library
2024-01-07 01:00:00,41.84,Engg Block
2024-01-07 01:00:00,29.51,Hostel
2024-01-07 02:00:00,42.92,Hostel
2024-01-07 02:00:00,7.46,Admin Block
2024-01-07 02:00:00,14.55,Library
2024-01-07 02:00:00,24.18,Engg Block
2024-01-07 03:00:00,52.83,Hostel
2024-01-07 03:00:00,23.45,Engg Block
2024-01-07 03:00:00,13.77,Library
2024-01-07 03:00:00,7.35,Admin Block
2024-01-07 04:00:00,34.83,Hostel
2024-01-07 04:00:00,15.17,Library
2024-01-07 04:00:00,39.57,Engg Block
2024-01-07 04:00:00,6.47,Admin Block
2024-01-07 05:00:00,8.68,Admin Block
2024-01-07 05:00:00,34.93,Hostel
2024-01-07 05:00:00,37.6,Engg Block
2024-01-07 05:00:00,15.42,Library
2024-01-07 06:00:00,54.05,Hostel
2024-01-07 06:00:00,15.96,Library
2024-01-07 06:00:00,11.3,Admin Block
2024-01-07 06:00:00,37.19,Engg Block
2024-01-07 07:00:00,14.12,Library
2024-01-07 07:00:00,38.03,Engg Block
2024-01-07 07:00:00,48.28,Hostel
2024-01-07 07:00:00,6.29,Admin Block
2024-01-07 08:00:00,12.08,Library
2024-01-07 08:00:00,53.95,Engg Block
2024-01-07 08:00:00,21.21,Hostel
2024-01-07 08:00:00,8.04,Admin Block
2024-01-07 09:00:00,30.88,Library
2024-01-07 09:00:00,68.77,Engg Block
2024-01-07 09:00:00,16.22,Hostel
2024-01-07 09:00:00,32.06,Admin Block
2024-01-07 10:00:00,69.76,Engg Block
2024-01-07 10:00:00,24.6,Admin Block
2024-01-07 10:00:00,37.24,Library
2024-01-07 10:00:00,19.55,Hostel
2024-01-07 11:00:00,27.26,Admin Block
2024-01-07 11:00:00,25.1,Library
2024-01-07 11:00:00,15.18,Hostel
2024-01-07 11:00:00,53.39,Engg Block
2024-01-07 12:00:00,19.69,Admin Block
2024-01-07 12:00:00,32.21,Library
2024-01-07 12:00:00,26.61,Hostel
2024-01-07 12:00:00,95.32,Engg Block
2024-01-07 13:00:00,27.14,Admin Block
2024-01-07 13:00:00,27.64,Library
2024-01-07 13:00:00,72.7,Engg Block
2024-01-07 13:00:00,27.52,Hostel
2024-01-07 14:00:00,45.64,Engg Block
2024-01-07 14:00:00,9.37,Hostel
2024-01-07 14:00:00,30.17,Library
